Indicator,Year,Geography,FIPS,Cases,Rate per 100000
HIV diagnoses,2022,"Alamance County, NC",37001,18,12.1
HIV diagnoses,2022,"Alameda County, CA",06001,208,14.9
HIV diagnoses,2022,"Alamosa County, CO",08003,0,0
HIV diagnoses,2022,"Albany County, NY",36001,29,10.5
HIV diagnoses,2022,"Albany County, WY",56001,Data suppressed,Data suppressed
HIV diagnoses,2022,"Albemarle County, VA",51003,Data suppressed,Data suppressed
HIV diagnoses,2022,"Alcona County, MI",26001,0,0
HIV diagnoses,2022,"Alcorn County, MS",28003,Data suppressed,Data suppressed
HIV diagnoses,2022,"Aleutians East Borough, AK",02013,Data suppressed,Data suppressed
HIV diagnoses,2022,"Aleutians West Census Area, AK",02016,Data suppressed,Data suppressed
HIV diagnoses,2022,"Alexander County, IL",17003,Data suppressed,Data suppressed
HIV diagnoses,2022,"Alexander County, NC",37003,Data suppressed,Data suppressed
HIV diagnoses,2022,"Alexandria City, VA",51510,27,20.2
HIV diagnoses,2022,"Alfalfa County, OK",40003,0,0
HIV diagnoses,2022,"Alger County, MI",26003,0,0
HIV diagnoses,2022,"Allamakee County, IA",19005,0,0
HIV diagnoses,2022,"Allegan County, MI",26005,8,7.9
HIV diagnoses,2022,"Allegany County, MD",24001,Data suppressed,Data suppressed
HIV diagnoses,2022,"Allegany County, NY",36003,Data suppressed,Data suppressed
HIV diagnoses,2022,"Alleghany County, NC",37005,0,0
HIV diagnoses,2022,"Alleghany County, VA",51005,0,0
HIV diagnoses,2022,"Allegheny County, PA",42003,75,7
HIV diagnoses,2022,"Allen County, IN",18003,23,7.2
HIV diagnoses,2022,"Allen County, KS",20001,0,0
HIV diagnoses,2022,"Allen County, KY",21003,Data suppressed,Data suppressed
HIV diagnoses,2022,"Allen County, OH",39003,Data suppressed,Data suppressed
HIV diagnoses,2022,"Allen Parish, LA",22003,5,26.8
HIV diagnoses,2022,"Allendale County, SC",45005,Data suppressed,Data suppressed
HIV diagnoses,2022,"Alpena County, MI",26007,0,0
HIV diagnoses,2022,"Alpine County, CA",06003,0,0
HIV diagnoses,2022,"Amador County, CA",06005,Data suppressed,Data suppressed
HIV diagnoses,2022,"Amelia County, VA",51007,Data suppressed,Data suppressed
HIV diagnoses,2022,"Amherst County, VA",51009,Data suppressed,Data suppressed
HIV diagnoses,2022,"Amite County, MS",28005,0,0
HIV diagnoses,2022,"Anchorage Municipality, AK",02020,Data suppressed,Data suppressed
HIV diagnoses,2022,"Anderson County, KS",20003,Data suppressed,Data suppressed
HIV diagnoses,2022,"Anderson County, KY",21005,Data suppressed,Data suppressed
HIV diagnoses,2022,"Anderson County, SC",45007,20,11.3
HIV diagnoses,2022,"Anderson County, TN",47001,5,7.4
HIV diagnoses,2022,"Anderson County, TX",48001,14,28.4
HIV diagnoses,2022,"Andrew County, MO",29003,Data suppressed,Data suppressed
HIV diagnoses,2022,"Andrews County, TX",48003,Data suppressed,Data suppressed
HIV diagnoses,2022,"Androscoggin County, ME",23001,Data suppressed,Data suppressed
HIV diagnoses,2022,"Angelina County, TX",48005,9,12.6
HIV diagnoses,2022,"Anne Arundel County, MD",24003,25,5
HIV diagnoses,2022,"Anoka County, MN",27003,13,4.2
HIV diagnoses,2022,"Anson County, NC",37007,Data suppressed,Data suppressed
HIV diagnoses,2022,"Antelope County, NE",31003,0,0
HIV diagnoses,2022,"Antrim County, MI",26009,0,0
HIV diagnoses,2022,"Apache County, AZ",04001,10,18.6
HIV diagnoses,2022,"Appanoose County, IA",19007,0,0
HIV diagnoses,2022,"Appling County, GA",13001,Data suppressed,Data suppressed
HIV diagnoses,2022,"Appomattox County, VA",51011,0,0
HIV diagnoses,2022,"Aransas County, TX",48007,Data suppressed,Data suppressed
HIV diagnoses,2022,"Arapahoe County, CO",08005,61,11
HIV diagnoses,2022,"Archer County, TX",48009,0,0
HIV diagnoses,2022,"Archuleta County, CO",08007,Data suppressed,Data suppressed
HIV diagnoses,2022,"Arecibo Municipio, PR",72013,7,9.1
HIV diagnoses,2022,"Arenac County, MI",26011,0,0
HIV diagnoses,2022,"Arkansas County, AR",05001,Data suppressed,Data suppressed
HIV diagnoses,2022,"Arlington County, VA",51013,19,9.4
HIV diagnoses,2022,"Armstrong County, PA",42005,Data suppressed,Data suppressed
HIV diagnoses,2022,"Armstrong County, TX",48011,0,0
HIV diagnoses,2022,"Aroostook County, ME",23003,Data suppressed,Data suppressed
HIV diagnoses,2022,"Arroyo Municipio, PR",72015,Data suppressed,Data suppressed
HIV diagnoses,2022,"Arthur County, NE",31005,0,0
HIV diagnoses,2022,"Ascension Parish, LA",22005,15,14.1
HIV diagnoses,2022,"Ashe County, NC",37009,0,0
HIV diagnoses,2022,"Ashland County, OH",39005,Data suppressed,Data suppressed
HIV diagnoses,2022,"Ashland County, WI",55003,0,0
HIV diagnoses,2022,"Ashley County, AR",05003,Data suppressed,Data suppressed
HIV diagnoses,2022,"Ashtabula County, OH",39007,Data suppressed,Data suppressed
HIV diagnoses,2022,"Asotin County, WA",53003,0,0
HIV diagnoses,2022,"Assumption Parish, LA",22007,9,51.2
HIV diagnoses,2022,"Atascosa County, TX",48013,Data suppressed,Data suppressed
HIV diagnoses,2022,"Atchison County, KS",20005,0,0
HIV diagnoses,2022,"Atchison County, MO",29005,0,0
HIV diagnoses,2022,"Athens County, OH",39009,Data suppressed,Data suppressed
HIV diagnoses,2022,"Atkinson County, GA",13003,Data suppressed,Data suppressed
HIV diagnoses,2022,"Atlantic County, NJ",34001,29,12.3
HIV diagnoses,2022,"Atoka County, OK",40005,0,0
HIV diagnoses,2022,"Attala County, MS",28007,Data suppressed,Data suppressed
HIV diagnoses,2022,"Audrain County, MO",29007,Data suppressed,Data suppressed
HIV diagnoses,2022,"Audubon County, IA",19009,0,0
HIV diagnoses,2022,"Auglaize County, OH",39011,0,0
HIV diagnoses,2022,"Augusta County, VA",51015,Data suppressed,Data suppressed
HIV diagnoses,2022,"Aurora County, SD",46003,0,0
HIV diagnoses,2022,"Austin County, TX",48015,Data suppressed,Data suppressed
HIV diagnoses,2022,"Autauga County, AL",01001,Data suppressed,Data suppressed
HIV diagnoses,2022,"Avery County, NC",37011,0,0
HIV diagnoses,2022,"Avoyelles Parish, LA",22009,7,21.8
HIV diagnoses,2022,"Añasco Municipio, PR",72011,0,0
HIV diagnoses,2022,"Baca County, CO",08009,0,0
HIV diagnoses,2022,"Bacon County, GA",13005,Data suppressed,Data suppressed
HIV diagnoses,2022,"Bailey County, TX",48017,Data suppressed,Data suppressed
HIV diagnoses,2022,"Baker County, FL",12003,Data suppressed,Data suppressed
HIV diagnoses,2022,"Baker County, GA",13007,0,0
HIV diagnoses,2022,"Baker County, OR",41001,Data suppressed,Data suppressed
HIV diagnoses,2022,"Baldwin County, AL",01003,15,7.1
HIV diagnoses,2022,"Baldwin County, GA",13009,9,23.6
HIV diagnoses,2022,"Ballard County, KY",21007,Data suppressed,Data suppressed
HIV diagnoses,2022,"Baltimore City, MD",24510,162,33.5
HIV diagnoses,2022,"Baltimore County, MD",24005,79,11
HIV diagnoses,2022,"Bamberg County, SC",45009,Data suppressed,Data suppressed
HIV diagnoses,2022,"Bandera County, TX",48019,Data suppressed,Data suppressed
HIV diagnoses,2022,"Banks County, GA",13011,0,0
HIV diagnoses,2022,"Banner County, NE",31007,0,0
HIV diagnoses,2022,"Bannock County, ID",16005,5,6.8
HIV diagnoses,2022,"Baraga County, MI",26013,0,0
HIV diagnoses,2022,"Barber County, KS",20007,0,0
HIV diagnoses,2022,"Barbour County, AL",01005,Data suppressed,Data suppressed
HIV diagnoses,2022,"Barbour County, WV",54001,0,0
HIV diagnoses,2022,"Barceloneta Municipio, PR",72017,Data suppressed,Data suppressed
HIV diagnoses,2022,"Barnes County, ND",38003,Data suppressed,Data suppressed
HIV diagnoses,2022,"Barnstable County, MA",25001,13,6.2
HIV diagnoses,2022,"Barnwell County, SC",45011,Data suppressed,Data suppressed
HIV diagnoses,2022,"Barranquitas Municipio, PR",72019,Data suppressed,Data suppressed
HIV diagnoses,2022,"Barren County, KY",21009,Data suppressed,Data suppressed
HIV diagnoses,2022,"Barron County, WI",55005,0,0
HIV diagnoses,2022,"Barrow County, GA",13013,16,21.7
HIV diagnoses,2022,"Barry County, MI",26015,Data suppressed,Data suppressed
HIV diagnoses,2022,"Barry County, MO",29009,0,0
HIV diagnoses,2022,"Bartholomew County, IN",18005,Data suppressed,Data suppressed
HIV diagnoses,2022,"Barton County, KS",20009,0,0
HIV diagnoses,2022,"Barton County, MO",29011,0,0
HIV diagnoses,2022,"Bartow County, GA",13015,20,21.2
HIV diagnoses,2022,"Bastrop County, TX",48021,14,16.1
HIV diagnoses,2022,"Bates County, MO",29013,0,0
HIV diagnoses,2022,"Bath County, KY",21011,0,0
HIV diagnoses,2022,"Bath County, VA",51017,0,0
HIV diagnoses,2022,"Baxter County, AR",05005,0,0
HIV diagnoses,2022,"Bay County, FL",12005,36,22.9
HIV diagnoses,2022,"Bay County, MI",26017,Data suppressed,Data suppressed
HIV diagnoses,2022,"Bayamón Municipio, PR",72021,20,12.4
HIV diagnoses,2022,"Bayfield County, WI",55007,0,0
HIV diagnoses,2022,"Baylor County, TX",48023,0,0
HIV diagnoses,2022,"Beadle County, SD",46005,0,0
HIV diagnoses,2022,"Bear Lake County, ID",16007,0,0
HIV diagnoses,2022,"Beaufort County, NC",37013,6,15.6
HIV diagnoses,2022,"Beaufort County, SC",45013,11,6.4
HIV diagnoses,2022,"Beauregard Parish, LA",22011,Data suppressed,Data suppressed
HIV diagnoses,2022,"Beaver County, OK",40007,0,0
HIV diagnoses,2022,"Beaver County, PA",42007,6,4.2
HIV diagnoses,2022,"Beaver County, UT",49001,0,0
HIV diagnoses,2022,"Beaverhead County, MT",30001,0,0
HIV diagnoses,2022,"Becker County, MN",27005,Data suppressed,Data suppressed
HIV diagnoses,2022,"Beckham County, OK",40009,Data suppressed,Data suppressed
HIV diagnoses,2022,"Bedford County, PA",42009,Data suppressed,Data suppressed
HIV diagnoses,2022,"Bedford County, TN",47003,6,14
HIV diagnoses,2022,"Bedford County, VA",51019,5,7.1
HIV diagnoses,2022,"Bee County, TX",48025,12,45.1
HIV diagnoses,2022,"Belknap County, NH",33001,0,0
HIV diagnoses,2022,"Bell County, KY",21013,0,0
HIV diagnoses,2022,"Bell County, TX",48027,57,18.4
HIV diagnoses,2022,"Belmont County, OH",39013,Data suppressed,Data suppressed
HIV diagnoses,2022,"Beltrami County, MN",27007,Data suppressed,Data suppressed
HIV diagnoses,2022,"Ben Hill County, GA",13017,0,0
HIV diagnoses,2022,"Benewah County, ID",16009,0,0
HIV diagnoses,2022,"Bennett County, SD",46007,0,0
HIV diagnoses,2022,"Bennington County, VT",50003,0,0
HIV diagnoses,2022,"Benson County, ND",38005,0,0
HIV diagnoses,2022,"Bent County, CO",08011,0,0
HIV diagnoses,2022,"Benton County, AR",05007,18,7.2
HIV diagnoses,2022,"Benton County, IA",19011,0,0
HIV diagnoses,2022,"Benton County, IN",18007,0,0
HIV diagnoses,2022,"Benton County, MN",27009,Data suppressed,Data suppressed
HIV diagnoses,2022,"Benton County, MO",29015,0,0
HIV diagnoses,2022,"Benton County, MS",28009,0,0
HIV diagnoses,2022,"Benton County, OR",41003,Data suppressed,Data suppressed
HIV diagnoses,2022,"Benton County, TN",47005,0,0
HIV diagnoses,2022,"Benton County, WA",53005,Data suppressed,Data suppressed
HIV diagnoses,2022,"Benzie County, MI",26019,Data suppressed,Data suppressed
HIV diagnoses,2022,"Bergen County, NJ",34003,75,9.2
HIV diagnoses,2022,"Berkeley County, SC",45015,38,18.6
HIV diagnoses,2022,"Berkeley County, WV",54003,Data suppressed,Data suppressed
HIV diagnoses,2022,"Berks County, PA",42011,47,12.8
HIV diagnoses,2022,"Berkshire County, MA",25003,5,4.4
HIV diagnoses,2022,"Bernalillo County, NM",35001,61,10.5
HIV diagnoses,2022,"Berrien County, GA",13019,Data suppressed,Data suppressed
HIV diagnoses,2022,"Berrien County, MI",26021,6,4.6
HIV diagnoses,2022,"Bertie County, NC",37015,Data suppressed,Data suppressed
HIV diagnoses,2022,"Bethel Census Area, AK",02050,Data suppressed,Data suppressed
HIV diagnoses,2022,"Bexar County, TX",48029,367,21.6
HIV diagnoses,2022,"Bibb County, AL",01007,Data suppressed,Data suppressed
HIV diagnoses,2022,"Bibb County, GA",13021,53,41.1
HIV diagnoses,2022,"Bienville Parish, LA",22013,Data suppressed,Data suppressed
HIV diagnoses,2022,"Big Horn County, MT",30003,0,0
HIV diagnoses,2022,"Big Horn County, WY",56003,Data suppressed,Data suppressed
HIV diagnoses,2022,"Big Stone County, MN",27011,0,0
HIV diagnoses,2022,"Billings County, ND",38007,0,0
HIV diagnoses,2022,"Bingham County, ID",16011,0,0
HIV diagnoses,2022,"Black Hawk County, IA",19013,8,7.3
HIV diagnoses,2022,"Blackford County, IN",18009,0,0
HIV diagnoses,2022,"Bladen County, NC",37017,Data suppressed,Data suppressed
HIV diagnoses,2022,"Blaine County, ID",16013,0,0
HIV diagnoses,2022,"Blaine County, MT",30005,0,0
HIV diagnoses,2022,"Blaine County, NE",31009,0,0
HIV diagnoses,2022,"Blaine County, OK",40011,0,0
HIV diagnoses,2022,"Blair County, PA",42013,Data suppressed,Data suppressed
HIV diagnoses,2022,"Blanco County, TX",48031,0,0
HIV diagnoses,2022,"Bland County, VA",51021,0,0
HIV diagnoses,2022,"Bleckley County, GA",13023,Data suppressed,Data suppressed
HIV diagnoses,2022,"Bledsoe County, TN",47007,Data suppressed,Data suppressed
HIV diagnoses,2022,"Blount County, AL",01009,8,16
HIV diagnoses,2022,"Blount County, TN",47009,7,5.8
HIV diagnoses,2022,"Blue Earth County, MN",27013,Data suppressed,Data suppressed
HIV diagnoses,2022,"Boise County, ID",16015,0,0
HIV diagnoses,2022,"Bolivar County, MS",28011,Data suppressed,Data suppressed
HIV diagnoses,2022,"Bollinger County, MO",29017,0,0
HIV diagnoses,2022,"Bon Homme County, SD",46009,Data suppressed,Data suppressed
HIV diagnoses,2022,"Bond County, IL",17005,Data suppressed,Data suppressed
HIV diagnoses,2022,"Bonner County, ID",16017,0,0
HIV diagnoses,2022,"Bonneville County, ID",16019,Data suppressed,Data suppressed
HIV diagnoses,2022,"Boone County, AR",05009,Data suppressed,Data suppressed
HIV diagnoses,2022,"Boone County, IA",19015,Data suppressed,Data suppressed
HIV diagnoses,2022,"Boone County, IL",17007,Data suppressed,Data suppressed
HIV diagnoses,2022,"Boone County, IN",18011,Data suppressed,Data suppressed
HIV diagnoses,2022,"Boone County, KY",21015,9,7.9
HIV diagnoses,2022,"Boone County, MO",29019,20,12.4
HIV diagnoses,2022,"Boone County, NE",31011,0,0
HIV diagnoses,2022,"Boone County, WV",54005,0,0
HIV diagnoses,2022,"Borden County, TX",48033,0,0
HIV diagnoses,2022,"Bosque County, TX",48035,Data suppressed,Data suppressed
HIV diagnoses,2022,"Bossier Parish, LA",22015,18,16.9
HIV diagnoses,2022,"Botetourt County, VA",51023,0,0
HIV diagnoses,2022,"Bottineau County, ND",38009,0,0
HIV diagnoses,2022,"Boulder County, CO",08013,10,3.5
HIV diagnoses,2022,"Boundary County, ID",16021,0,0
HIV diagnoses,2022,"Bourbon County, KS",20011,0,0
HIV diagnoses,2022,"Bourbon County, KY",21017,Data suppressed,Data suppressed
HIV diagnoses,2022,"Bowie County, TX",48037,9,11.8
HIV diagnoses,2022,"Bowman County, ND",38011,0,0
HIV diagnoses,2022,"Box Butte County, NE",31013,Data suppressed,Data suppressed
HIV diagnoses,2022,"Box Elder County, UT",49003,0,0
HIV diagnoses,2022,"Boyd County, KY",21019,Data suppressed,Data suppressed
HIV diagnoses,2022,"Boyd County, NE",31015,0,0
HIV diagnoses,2022,"Boyle County, KY",21021,0,0
HIV diagnoses,2022,"Bracken County, KY",21023,0,0
HIV diagnoses,2022,"Bradford County, FL",12007,Data suppressed,Data suppressed
HIV diagnoses,2022,"Bradford County, PA",42015,0,0
HIV diagnoses,2022,"Bradley County, AR",05011,0,0
HIV diagnoses,2022,"Bradley County, TN",47011,8,8.5
HIV diagnoses,2022,"Branch County, MI",26023,Data suppressed,Data suppressed
HIV diagnoses,2022,"Brantley County, GA",13025,Data suppressed,Data suppressed
HIV diagnoses,2022,"Braxton County, WV",54007,0,0
HIV diagnoses,2022,"Brazoria County, TX",48039,35,11
HIV diagnoses,2022,"Brazos County, TX",48041,22,10.6
HIV diagnoses,2022,"Breathitt County, KY",21025,0,0
HIV diagnoses,2022,"Breckinridge County, KY",21027,Data suppressed,Data suppressed
HIV diagnoses,2022,"Bremer County, IA",19017,Data suppressed,Data suppressed
HIV diagnoses,2022,"Brevard County, FL",12009,69,12.5
HIV diagnoses,2022,"Brewster County, TX",48043,0,0
HIV diagnoses,2022,"Briscoe County, TX",48045,0,0
HIV diagnoses,2022,"Bristol Bay Borough, AK",02060,Data suppressed,Data suppressed
HIV diagnoses,2022,"Bristol City, VA",51520,0,0
HIV diagnoses,2022,"Bristol County, MA",25005,30,6
HIV diagnoses,2022,"Bristol County, RI",44001,0,0
HIV diagnoses,2022,"Broadwater County, MT",30007,0,0
HIV diagnoses,2022,"Bronx County, NY",36005,409,35.8
HIV diagnoses,2022,"Brooke County, WV",54009,0,0
HIV diagnoses,2022,"Brookings County, SD",46011,0,0
HIV diagnoses,2022,"Brooks County, GA",13027,Data suppressed,Data suppressed
HIV diagnoses,2022,"Brooks County, TX",48047,0,0
HIV diagnoses,2022,"Broome County, NY",36007,14,8.2
HIV diagnoses,2022,"Broomfield County, CO",08014,Data suppressed,Data suppressed
HIV diagnoses,2022,"Broward County, FL",12011,570,34.3
HIV diagnoses,2022,"Brown County, IL",17009,Data suppressed,Data suppressed
HIV diagnoses,2022,"Brown County, IN",18013,Data suppressed,Data suppressed
HIV diagnoses,2022,"Brown County, KS",20013,Data suppressed,Data suppressed
HIV diagnoses,2022,"Brown County, MN",27015,0,0
HIV diagnoses,2022,"Brown County, NE",31017,0,0
HIV diagnoses,2022,"Brown County, OH",39015,Data suppressed,Data suppressed
HIV diagnoses,2022,"Brown County, SD",46013,Data suppressed,Data suppressed
HIV diagnoses,2022,"Brown County, TX",48049,Data suppressed,Data suppressed
HIV diagnoses,2022,"Brown County, WI",55009,15,6.6
HIV diagnoses,2022,"Brule County, SD",46015,0,0
HIV diagnoses,2022,"Brunswick County, NC",37019,9,6.5
HIV diagnoses,2022,"Brunswick County, VA",51025,Data suppressed,Data suppressed
HIV diagnoses,2022,"Bryan County, GA",13029,Data suppressed,Data suppressed
HIV diagnoses,2022,"Bryan County, OK",40013,Data suppressed,Data suppressed
HIV diagnoses,2022,"Buchanan County, IA",19019,0,0
HIV diagnoses,2022,"Buchanan County, MO",29021,8,11.5
HIV diagnoses,2022,"Buchanan County, VA",51027,0,0
HIV diagnoses,2022,"Buckingham County, VA",51029,Data suppressed,Data suppressed
HIV diagnoses,2022,"Bucks County, PA",42017,28,5
HIV diagnoses,2022,"Buena Vista City, VA",51530,0,0
HIV diagnoses,2022,"Buena Vista County, IA",19021,Data suppressed,Data suppressed
HIV diagnoses,2022,"Buffalo County, NE",31019,Data suppressed,Data suppressed
HIV diagnoses,2022,"Buffalo County, SD",46017,0,0
HIV diagnoses,2022,"Buffalo County, WI",55011,0,0
HIV diagnoses,2022,"Bullitt County, KY",21029,6,8.4
HIV diagnoses,2022,"Bulloch County, GA",13031,21,29.5
HIV diagnoses,2022,"Bullock County, AL",01011,Data suppressed,Data suppressed
HIV diagnoses,2022,"Buncombe County, NC",37021,27,11.3
HIV diagnoses,2022,"Bureau County, IL",17011,0,0
HIV diagnoses,2022,"Burke County, GA",13033,Data suppressed,Data suppressed
HIV diagnoses,2022,"Burke County, NC",37023,Data suppressed,Data suppressed
HIV diagnoses,2022,"Burke County, ND",38013,0,0
HIV diagnoses,2022,"Burleigh County, ND",38015,Data suppressed,Data suppressed
HIV diagnoses,2022,"Burleson County, TX",48051,Data suppressed,Data suppressed
HIV diagnoses,2022,"Burlington County, NJ",34005,43,10.8
HIV diagnoses,2022,"Burnet County, TX",48053,Data suppressed,Data suppressed
HIV diagnoses,2022,"Burnett County, WI",55013,0,0
HIV diagnoses,2022,"Burt County, NE",31021,0,0
HIV diagnoses,2022,"Butler County, AL",01013,Data suppressed,Data suppressed
HIV diagnoses,2022,"Butler County, IA",19023,0,0
HIV diagnoses,2022,"Butler County, KS",20015,Data suppressed,Data suppressed
HIV diagnoses,2022,"Butler County, KY",21031,0,0
HIV diagnoses,2022,"Butler County, MO",29023,10,28.4
HIV diagnoses,2022,"Butler County, NE",31023,0,0
HIV diagnoses,2022,"Butler County, OH",39017,30,9.2
HIV diagnoses,2022,"Butler County, PA",42019,Data suppressed,Data suppressed
HIV diagnoses,2022,"Butte County, CA",06007,15,8.4
HIV diagnoses,2022,"Butte County, ID",16023,0,0
HIV diagnoses,2022,"Butte County, SD",46019,0,0
HIV diagnoses,2022,"Butts County, GA",13035,23,100.5
HIV diagnoses,2022,"Cabarrus County, NC",37025,25,12.8
HIV diagnoses,2022,"Cabell County, WV",54011,57,71.6
HIV diagnoses,2022,"Cabo Rojo Municipio, PR",72023,5,11.9
HIV diagnoses,2022,"Cache County, UT",49005,5,4.5
HIV diagnoses,2022,"Caddo County, OK",40015,Data suppressed,Data suppressed
HIV diagnoses,2022,"Caddo Parish, LA",22017,79,41.4
HIV diagnoses,2022,"Caguas Municipio, PR",72025,9,8.1
HIV diagnoses,2022,"Calaveras County, CA",06009,0,0
HIV diagnoses,2022,"Calcasieu Parish, LA",22019,33,19.8
HIV diagnoses,2022,"Caldwell County, KY",21033,0,0
HIV diagnoses,2022,"Caldwell County, MO",29025,0,0
HIV diagnoses,2022,"Caldwell County, NC",37027,6,8.6
HIV diagnoses,2022,"Caldwell County, TX",48055,9,22.5
HIV diagnoses,2022,"Caldwell Parish, LA",22021,Data suppressed,Data suppressed
HIV diagnoses,2022,"Caledonia County, VT",50005,Data suppressed,Data suppressed
HIV diagnoses,2022,"Calhoun County, AL",01015,12,12.2
HIV diagnoses,2022,"Calhoun County, AR",05013,0,0
HIV diagnoses,2022,"Calhoun County, FL",12013,Data suppressed,Data suppressed
HIV diagnoses,2022,"Calhoun County, GA",13037,Data suppressed,Data suppressed
HIV diagnoses,2022,"Calhoun County, IA",19025,0,0
HIV diagnoses,2022,"Calhoun County, IL",17013,0,0
HIV diagnoses,2022,"Calhoun County, MI",26025,7,6.2
HIV diagnoses,2022,"Calhoun County, MS",28013,Data suppressed,Data suppressed
HIV diagnoses,2022,"Calhoun County, SC",45017,Data suppressed,Data suppressed
HIV diagnoses,2022,"Calhoun County, TX",48057,0,0
HIV diagnoses,2022,"Calhoun County, WV",54013,0,0
HIV diagnoses,2022,"Callahan County, TX",48059,Data suppressed,Data suppressed
HIV diagnoses,2022,"Callaway County, MO",29027,6,15.7
HIV diagnoses,2022,"Calloway County, KY",21035,Data suppressed,Data suppressed
HIV diagnoses,2022,"Calumet County, WI",55015,0,0
HIV diagnoses,2022,"Calvert County, MD",24009,Data suppressed,Data suppressed
HIV diagnoses,2022,"Camas County, ID",16025,0,0
HIV diagnoses,2022,"Cambria County, PA",42021,8,7
HIV diagnoses,2022,"Camden County, GA",13039,Data suppressed,Data suppressed
HIV diagnoses,2022,"Camden County, MO",29029,Data suppressed,Data suppressed
HIV diagnoses,2022,"Camden County, NC",37029,0,0
HIV diagnoses,2022,"Camden County, NJ",34007,78,17.7
HIV diagnoses,2022,"Cameron County, PA",42023,0,0
HIV diagnoses,2022,"Cameron County, TX",48061,51,15
HIV diagnoses,2022,"Cameron Parish, LA",22023,0,0
HIV diagnoses,2022,"Camp County, TX",48063,Data suppressed,Data suppressed
HIV diagnoses,2022,"Campbell County, KY",21037,Data suppressed,Data suppressed
HIV diagnoses,2022,"Campbell County, SD",46021,0,0
HIV diagnoses,2022,"Campbell County, TN",47013,0,0
HIV diagnoses,2022,"Campbell County, VA",51031,7,14.7
HIV diagnoses,2022,"Campbell County, WY",56005,Data suppressed,Data suppressed
HIV diagnoses,2022,"Camuy Municipio, PR",72027,Data suppressed,Data suppressed
HIV diagnoses,2022,"Canadian County, OK",40017,10,7.2
HIV diagnoses,2022,"Candler County, GA",13043,0,0
HIV diagnoses,2022,"Cannon County, TN",47015,0,0
HIV diagnoses,2022,"Canyon County, ID",16027,13,6.4
HIV diagnoses,2022,"Canóvanas Municipio, PR",72029,Data suppressed,Data suppressed
HIV diagnoses,2022,"Cape Girardeau County, MO",29031,5,7.1
HIV diagnoses,2022,"Cape May County, NJ",34009,8,9.5
HIV diagnoses,2022,"Capitol Planning Region, CT",09110,59,7.1
HIV diagnoses,2022,"Carbon County, MT",30009,0,0
HIV diagnoses,2022,"Carbon County, PA",42025,Data suppressed,Data suppressed
HIV diagnoses,2022,"Carbon County, UT",49007,0,0
HIV diagnoses,2022,"Carbon County, WY",56007,0,0
HIV diagnoses,2022,"Caribou County, ID",16029,0,0
HIV diagnoses,2022,"Carlisle County, KY",21039,0,0
HIV diagnoses,2022,"Carlton County, MN",27017,Data suppressed,Data suppressed
HIV diagnoses,2022,"Carolina Municipio, PR",72031,13,9.6
HIV diagnoses,2022,"Caroline County, MD",24011,Data suppressed,Data suppressed
HIV diagnoses,2022,"Caroline County, VA",51033,0,0
HIV diagnoses,2022,"Carroll County, AR",05015,Data suppressed,Data suppressed
HIV diagnoses,2022,"Carroll County, GA",13045,15,14.5
HIV diagnoses,2022,"Carroll County, IA",19027,0,0
HIV diagnoses,2022,"Carroll County, IL",17015,0,0
HIV diagnoses,2022,"Carroll County, IN",18015,0,0
HIV diagnoses,2022,"Carroll County, KY",21041,0,0
HIV diagnoses,2022,"Carroll County, MD",24013,Data suppressed,Data suppressed
